,country,year_month,mean_invoice_sale,median_invoice_sale,invoice_count
0,Australia,2010-12,344.2833333333333,358.25,3
1,Australia,2011-01,1001.9677777777779,238.5,9
2,Australia,2011-02,2939.084,124.05000000000001,5
3,Australia,2011-03,5741.330000000001,286.25,3
4,Australia,2011-04,385.8,385.8,2
5,Australia,2011-05,3409.6025000000004,620.76,4
6,Australia,2011-06,6296.9425,1058.6000000000001,4
7,Australia,2011-07,709.1971428571429,483.02000000000004,7
8,Australia,2011-08,11244.599999999999,11244.599999999999,2
9,Australia,2011-09,638.3412500000001,364.34499999999997,8
10,Australia,2011-10,4287.6325,708.48,4
11,Australia,2011-11,1207.1200000000001,515.52,6
12,Austria,2010-12,277.2,277.2,1
13,Austria,2011-02,259.18,259.18,2
14,Austria,2011-03,854.06,854.06,2
15,Austria,2011-04,340.39,340.39,2
16,Austria,2011-05,624.7149999999999,624.7149999999999,2
17,Austria,2011-07,595.975,595.975,2
18,Austria,2011-08,758.04,758.04,2
19,Austria,2011-10,1043.78,1043.78,1
20,Austria,2011-11,664.8900000000001,664.8900000000001,2
21,Austria,2011-12,683.2,683.2,1
22,Bahrain,2010-12,205.74,205.74,1
23,Bahrain,2011-05,274.2,274.2,2
24,Belgium,2010-12,361.982,333.82,5
25,Belgium,2011-01,400.0666666666666,323.44,3
26,Belgium,2011-02,272.63375,203.105,8
27,Belgium,2011-03,372.4422222222222,347.35,9
28,Belgium,2011-04,331.58,310.115,6
29,Belgium,2011-05,303.6,297.38,9
30,Belgium,2011-06,388.62000000000006,437.19,11
31,Belgium,2011-07,495.1139999999999,303.76,5
32,Belgium,2011-08,394.8911111111111,355.56,9
33,Belgium,2011-09,601.1457142857143,626.01,7
34,Belgium,2011-10,516.8527272727273,358.99,11
35,Belgium,2011-11,574.16,301.25,11
36,Belgium,2011-12,354.4325,340.025,4
37,Brazil,2011-04,1143.6,1143.6,1
38,Canada,2011-03,140.54,140.54,1
39,Canada,2011-05,534.24,534.24,1
40,Canada,2011-06,1171.46,1171.46,1
41,Canada,2011-07,884.2900000000001,884.2900000000001,2
42,Canada,2011-08,51.559999999999995,51.559999999999995,1
43,Channel Islands,2010-12,363.53,363.53,1
44,Channel Islands,2011-01,675.58,675.58,1
45,Channel Islands,2011-02,1784.71,1784.71,1
46,Channel Islands,2011-03,1169.7766666666669,1104.13,3
47,Channel Islands,2011-04,293.0,293.0,1
48,Channel Islands,2011-05,603.62,603.62,2
49,Channel Islands,2011-06,2060.0299999999997,2060.0299999999997,1
50,Channel Islands,2011-08,979.356,1103.15,5
51,Channel Islands,2011-09,661.875,661.875,2
52,Channel Islands,2011-10,524.664,622.84,5
53,Channel Islands,2011-11,504.92333333333335,211.63,3
54,Channel Islands,2011-12,198.4,198.4,1
55,Cyprus,2010-12,1590.82,1590.82,1
56,Cyprus,2011-01,547.5,547.5,1
57,Cyprus,2011-02,722.3733333333333,320.69,6
58,Cyprus,2011-03,938.39,938.39,1
59,Cyprus,2011-06,1109.32,1109.32,1
60,Cyprus,2011-09,196.35,196.35,1
61,Cyprus,2011-10,1103.2175,669.835,4
62,Cyprus,2011-11,460.89,460.89,1
63,Czech Republic,2011-02,549.26,549.26,1
64,Czech Republic,2011-10,277.48,277.48,1
65,Denmark,2010-12,1281.5,1281.5,1
66,Denmark,2011-02,399.22,399.22,1
67,Denmark,2011-03,3978.9900000000002,3978.9900000000002,1
68,Denmark,2011-05,515.7,515.7,1
69,Denmark,2011-06,1087.05,1125.4,3
70,Denmark,2011-07,376.24,376.24,1
71,Denmark,2011-08,213.15,213.15,1
72,Denmark,2011-09,1523.3866666666665,383.12,3
73,Denmark,2011-10,496.92,427.7,3
74,Denmark,2011-11,1349.7849999999999,1349.7849999999999,2
75,Denmark,2011-12,168.9,168.9,1
76,EIRE,2010-12,590.1917647058824,549.0,17
77,EIRE,2011-01,3129.1700000000005,564.05,7
78,EIRE,2011-02,942.2107692307692,797.77,13
79,EIRE,2011-03,965.1091304347825,706.6,23
80,EIRE,2011-04,688.2272727272727,367.62,11
81,EIRE,2011-05,818.5799999999999,611.49,22
82,EIRE,2011-06,887.9860714285714,611.445,28
83,EIRE,2011-07,1584.8092592592593,654.97,27
84,EIRE,2011-08,965.9868421052631,768.97,19
85,EIRE,2011-09,1133.8565789473682,743.525,38
86,EIRE,2011-10,784.4490322580646,728.24,31
87,EIRE,2011-11,731.8673809523809,570.14,42
88,EIRE,2011-12,734.089,642.77,10
89,European Community,2011-04,191.4,191.4,1
90,European Community,2011-06,216.025,216.025,2
91,European Community,2011-07,676.8,676.8,1
92,Finland,2010-12,892.8,892.8,1
93,Finland,2011-01,444.51,444.51,2
94,Finland,2011-02,205.16,205.16,1
95,Finland,2011-03,1187.364,558.4,5
96,Finland,2011-04,422.23,370.36,4
97,Finland,2011-06,329.56,329.56,1
98,Finland,2011-07,998.91,653.9,3
99,Finland,2011-08,458.8333333333333,410.55,3
100,Finland,2011-09,276.3625,277.775,4
101,Finland,2011-10,470.3533333333333,477.46500000000003,6
102,Finland,2011-11,383.78,359.17,8
103,Finland,2011-12,410.92,198.76,3
104,France,2010-12,457.9195238095238,213.88,21
105,France,2011-01,611.7282758620689,459.8,29
106,France,2011-02,405.5219047619047,321.56,21
107,France,2011-03,583.582,378.0,25
108,France,2011-04,394.97214285714284,309.1,14
109,France,2011-05,451.6635897435898,393.34,39
110,France,2011-06,527.368064516129,420.94000000000005,31
111,France,2011-07,454.5540909090909,316.08000000000004,22
112,France,2011-08,493.2485714285714,406.54999999999995,28
113,France,2011-09,520.6231111111111,404.31,45
114,France,2011-10,956.727142857143,283.6,35
115,France,2011-11,496.22984375,412.42,64
116,France,2011-12,404.2733333333333,337.895,18
117,Germany,2010-12,508.03799999999995,299.3,30
118,Germany,2011-01,545.5109677419355,350.4,31
119,Germany,2011-02,504.26578947368426,336.70000000000005,19
120,Germany,2011-03,449.7715625,303.25,32
121,Germany,2011-04,535.4582608695652,348.68,23
122,Germany,2011-05,613.1238095238095,341.575,42
123,Germany,2011-06,553.0875,501.31500000000005,24
124,Germany,2011-07,498.21151515151513,440.7,33
125,Germany,2011-08,492.8402564102564,366.45,39
126,Germany,2011-09,441.2492682926829,367.37,41
127,Germany,2011-10,545.49,394.3,58
128,Germany,2011-11,412.1326470588235,314.47499999999997,68
129,Germany,2011-12,469.65705882352944,277.08,17
130,Greece,2011-01,2661.24,2661.24,1
131,Greece,2011-03,387.31,387.31,1
132,Greece,2011-04,609.74,609.74,1
133,Greece,2011-07,421.24,421.24,1
134,Greece,2011-12,680.99,680.99,1
135,Hong Kong,2011-01,2439.76,2439.76,1
136,Hong Kong,2011-03,2583.76,2583.76,1
137,Hong Kong,2011-04,1539.64,1539.64,1
138,Hong Kong,2011-05,1966.16,1966.16,1
139,Hong Kong,2011-06,633.96,633.96,1
140,Hong Kong,2011-08,1406.9750000000001,1406.9750000000001,2
141,Hong Kong,2011-09,2653.95,2653.95,1
142,Hong Kong,2011-10,367.26,367.26,2
143,Hong Kong,2011-11,326.1,326.1,1
144,Iceland,2010-12,711.79,711.79,1
145,Iceland,2011-01,475.39,475.39,1
146,Iceland,2011-04,636.25,636.25,1
147,Iceland,2011-06,382.52,382.52,1
148,Iceland,2011-08,584.9100000000001,584.9100000000001,1
149,Iceland,2011-10,1294.32,1294.32,1
150,Iceland,2011-12,224.82,224.82,1
151,Israel,2011-01,379.84000000000003,379.84000000000003,1
152,Israel,2011-02,779.1,779.1,1
153,Israel,2011-04,110.0,110.0,1
154,Israel,2011-07,1430.75,1430.75,1
155,Israel,2011-08,4873.8099999999995,4873.8099999999995,1
156,Israel,2011-09,423.73,423.73,1
157,Israel,2011-10,69.015,69.015,2
158,Italy,2010-12,405.75,405.75,2
159,Italy,2011-01,800.8366666666667,452.84999999999997,3
160,Italy,2011-02,256.0,256.0,1
161,Italy,2011-03,451.7025,380.565,4
162,Italy,2011-04,368.91499999999996,368.91499999999996,2
163,Italy,2011-05,587.45,587.45,1
164,Italy,2011-06,101.03500000000001,101.03500000000001,2
165,Italy,2011-07,147.1,147.1,1
166,Italy,2011-08,497.7375,515.725,4
167,Italy,2011-09,279.8,279.8,1
168,Italy,2011-10,498.52714285714285,343.0,7
169,Italy,2011-11,507.8977777777778,248.2,9
170,Italy,2011-12,200.45000000000002,200.45000000000002,1
171,Japan,2010-12,2568.3566666666666,3590.59,3
172,Japan,2011-02,2890.4049999999997,2890.4049999999997,2
173,Japan,2011-03,16.299999999999997,16.05,3
174,Japan,2011-04,3274.25,3274.25,2
175,Japan,2011-05,1351.45,1351.45,1
176,Japan,2011-06,1607.04,1607.04,1
177,Japan,2011-07,1927.2,1927.2,2
178,Japan,2011-09,112.07999999999998,112.07999999999998,1
179,Japan,2011-10,974.0200000000001,974.0200000000001,2
180,Japan,2011-11,4230.04,4230.04,2
181,Lebanon,2011-01,1693.88,1693.88,1
182,Lithuania,2010-12,415.265,250.5,4
183,Malta,2011-06,431.58,431.58,2
184,Malta,2011-08,559.5,559.5,2
185,Malta,2011-11,743.43,743.43,1
186,Netherlands,2010-12,2928.16,192.60000000000002,3
187,Netherlands,2011-01,5322.232,7722.04,5
188,Netherlands,2011-02,4602.382,3211.7,5
189,Netherlands,2011-03,2802.0612499999997,926.3299999999999,8
190,Netherlands,2011-04,992.1866666666666,1129.1999999999998,3
191,Netherlands,2011-05,2653.261818181818,536.4,11
192,Netherlands,2011-06,2441.6445454545456,1113.6000000000001,11
193,Netherlands,2011-07,26.02,26.02,1
194,Netherlands,2011-08,5761.115714285714,998.4000000000001,7
195,Netherlands,2011-09,3848.18,1944.6,7
196,Netherlands,2011-10,2713.9099999999994,788.16,15
197,Netherlands,2011-11,1724.9340000000002,290.0,15
198,Netherlands,2011-12,3909.3399999999997,575.88,3
199,Norway,2010-12,1893.56,1893.56,2
200,Norway,2011-02,315.45,315.45,2
201,Norway,2011-03,316.3275,152.34,4
202,Norway,2011-06,1471.7150000000001,1285.1,4
203,Norway,2011-07,890.0699999999999,890.0699999999999,1
204,Norway,2011-08,1012.905,1012.905,2
205,Norway,2011-09,1446.4899999999998,535.775,6
206,Norway,2011-10,526.7471428571429,256.4,7
207,Norway,2011-11,1305.5,936.64,5
208,Norway,2011-12,928.5666666666667,147.01,3
209,Poland,2010-12,248.16,248.16,1
210,Poland,2011-01,613.22,613.22,1
211,Poland,2011-02,302.025,302.025,2
212,Poland,2011-03,317.78,317.78,1
213,Poland,2011-04,705.8399999999999,705.8399999999999,1
214,Poland,2011-05,507.45666666666665,615.36,3
215,Poland,2011-06,171.82500000000002,171.82500000000002,2
216,Poland,2011-07,343.65,343.65,2
217,Poland,2011-08,200.9,200.9,2
218,Poland,2011-09,264.625,264.625,2
219,Poland,2011-11,680.615,680.615,2
220,Portugal,2010-12,406.6616666666667,282.99,6
221,Portugal,2011-01,1013.9275,685.205,4
222,Portugal,2011-02,606.95,606.95,2
223,Portugal,2011-03,532.17,400.53999999999996,5
224,Portugal,2011-04,843.875,843.875,2
225,Portugal,2011-05,840.4460000000001,602.83,5
226,Portugal,2011-06,294.82,243.2,3
227,Portugal,2011-07,762.6166666666667,835.65,3
228,Portugal,2011-08,1221.4,1221.4,1
229,Portugal,2011-09,477.74,339.02,3
230,Portugal,2011-10,620.667,441.215,10
231,Portugal,2011-11,264.48999999999995,263.78000000000003,10
232,Portugal,2011-12,702.0475,559.505,4
233,RSA,2011-10,1002.3100000000001,1002.3100000000001,1
234,Saudi Arabia,2011-02,145.92,145.92,1
235,Singapore,2011-01,2053.07,2053.07,1
236,Singapore,2011-04,2736.5266666666666,2118.74,3
237,Singapore,2011-07,3949.32,3949.32,1
238,Singapore,2011-10,3533.66,3533.66,2
239,Spain,2010-12,460.9325,397.36,4
240,Spain,2011-01,1260.76125,1142.925,8
241,Spain,2011-02,528.625,531.705,4
242,Spain,2011-03,670.39375,665.4749999999999,8
243,Spain,2011-04,595.2166666666667,436.3,3
244,Spain,2011-05,814.4,914.5450000000001,4
245,Spain,2011-06,416.65125,251.875,8
246,Spain,2011-07,847.2133333333334,312.9,9
247,Spain,2011-08,334.691,155.195,10
248,Spain,2011-09,648.655,610.095,8
249,Spain,2011-10,1079.6175,436.125,8
250,Spain,2011-11,619.9257142857143,400.09000000000003,14
251,Spain,2011-12,158.10500000000002,158.10500000000002,2
252,Sweden,2010-12,1917.1499999999999,1917.1499999999999,2
253,Sweden,2011-01,1743.1599999999999,1743.1599999999999,2
254,Sweden,2011-02,509.5,509.5,1
255,Sweden,2011-03,1573.5266666666664,197.9,3
256,Sweden,2011-04,404.55,404.55,2
257,Sweden,2011-05,893.9933333333333,115.60000000000001,3
258,Sweden,2011-06,277.3333333333333,319.95,3
259,Sweden,2011-07,2267.3633333333332,2825.1,3
260,Sweden,2011-08,280.172,185.9,5
261,Sweden,2011-09,1525.07,309.45,3
262,Sweden,2011-10,1922.0533333333333,454.2,3
263,Sweden,2011-11,544.446,406.72,5
264,Sweden,2011-12,238.0,238.0,1
265,Switzerland,2010-12,652.46,652.46,2
266,Switzerland,2011-01,1410.4099999999999,685.12,3
267,Switzerland,2011-02,530.984,441.92,5
268,Switzerland,2011-03,623.41,490.78000000000003,3
269,Switzerland,2011-04,519.235,444.125,4
270,Switzerland,2011-05,1203.3366666666668,906.4,3
271,Switzerland,2011-06,1976.0375000000001,639.855,4
272,Switzerland,2011-07,666.4350000000001,610.31,6
273,Switzerland,2011-08,1656.6299999999999,668.58,3
274,Switzerland,2011-09,1183.5514285714287,505.48,7
275,Switzerland,2011-10,1008.1474999999999,796.005,8
276,Switzerland,2011-11,1353.16,321.575,6
277,USA,2011-04,383.95,383.95,1
278,USA,2011-10,1155.6,1155.6,2
279,USA,2011-12,442.62,442.62,2
280,United Arab Emirates,2011-02,889.24,889.24,1
281,United Arab Emirates,2011-09,506.52,506.52,2
282,United Kingdom,2010-12,517.1174706288873,252.2,1447
283,United Kingdom,2011-01,578.0535324407826,302.58,971
284,United Kingdom,2011-02,432.1888944723618,303.22,995
285,United Kingdom,2011-03,448.1882874617737,283.98,1308
286,United Kingdom,2011-04,413.2851352992194,297.28000000000003,1153
287,United Kingdom,2011-05,419.77305318450425,302.47,1523
288,United Kingdom,2011-06,447.9469775849603,271.6,1383
289,United Kingdom,2011-07,450.2579214659686,299.18,1337
290,United Kingdom,2011-08,502.5185785123967,303.39,1210
291,United Kingdom,2011-09,545.335241337386,317.90000000000003,1645
292,United Kingdom,2011-10,518.484268360022,306.90999999999997,1811
293,United Kingdom,2011-11,532.2675542168674,292.46500000000003,2490
294,United Kingdom,2011-12,794.3995844504021,296.54,746
295,Unspecified,2011-04,299.1,299.1,1
296,Unspecified,2011-05,527.935,527.935,2
297,Unspecified,2011-06,185.78,185.78,1
298,Unspecified,2011-07,356.3525,299.70000000000005,4
299,Unspecified,2011-08,265.515,265.515,2
300,Unspecified,2011-09,286.85,286.85,1
301,Unspecified,2011-11,482.875,482.875,2
